"i"	"k"	"gi"	"gj"	"mi"	"mj"	"ci"	"cj"	"si"	"sj"
"954"	"378"	"2.942"	"2.897"	"82.5"	"77"	"130624"	"150517"	"Gv"	"Arbaer Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Mosfellsbaer"
"1879"	"312"	"3.625"	"3.344"	"74.5"	"73"	"129090"	"138336"	"Gv"	"Haaleiti Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Gerdin Gardabaer Seltjarnarnes Kopavogur Hafnarfjordur Mosfellsbaer"
"1921"	"332"	"2.649"	"2.615"	"87.5"	"86"	"126750"	"182046"	"Ar"	"LaugarneshverfiVogar Vesturbaer Hlidar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Mosfellsbaer"
"2525"	"322"	"2.787"	"2.606"	"81"	"80"	"126951.5"	"169416"	"Hf"	"Breidholt Vesturbaer Hlidar LaugarneshverfiVogar Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Hafnarfjordur Mosfellsbaer"
"2552"	"280"	"3.766"	"3.045"	"70.2"	"60"	"145912"	"146279"	"LV"	"Seltjarnarnes Vesturbaer Hlidar LaugarneshverfiVogar Fossvogur Midbaer Haaleiti Gerdin"
"5309"	"367"	"3.177"	"3.046"	"83.4"	"77"	"129174.5"	"129630"	"Gv"	"Hlutlaus"
"6712"	"287"	"2.689"	"2.672"	"89.5"	"89"	"133750.5"	"134775"	"Hf"	"Hlutlaus"
"7919"	"311"	"2.443"	"2.369"	"96.2"	"63"	"139750"	"146578"	"Hf"	"Gardabaer Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Kopavogur Hafnarfjordur Mosfellsbaer"
"8945"	"321"	"3.001"	"2.766"	"81.1"	"69"	"132658.5"	"202121"	"Hf"	"Hlutlaus"
"9784"	"294"	"3.457"	"3"	"72.2"	"68"	"148850"	"185762"	"Hl"	"Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Seltjarnarnes Kopavogur"
"9910"	"282"	"2.913"	"2.902"	"88.6"	"78"	"149194.5"	"149953"	"Hf"	"Hlutlaus"
"10694"	"385"	"3.896"	"2.448"	"76.8"	"57"	"144085.5"	"145445"	"Gv"	"Hlutlaus"
"11675"	"349"	"3.988"	"3.512"	"75.6"	"65"	"146022.5"	"149977"	"Gv"	"Hlutlaus"
"16313"	"320"	"4.271"	"2.724"	"89.2"	"72"	"214441.5"	"240345"	"Ko"	"Arbaer LaugarneshverfiVogar Breidholt Grafarholt Fossvogur Grafarvogur Haaleiti Gerdin Gardabaer Kopavogur Mosfellsbaer"
"17894"	"315"	"2.429"	"2.374"	"97.4"	"90"	"123922.5"	"126015"	"Gv"	"Mosfellsbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Haaleiti Gerdin Kopavogur"
"18890"	"365"	"2.787"	"2.571"	"85.4"	"81"	"127062"	"174425"	"Ha"	"Seltjarnarnes Vesturbaer Hlidar LaugarneshverfiVogar Fossvogur Midbaer Haaleiti Gerdin"
"1268"	"404"	"3.155"	"2.811"	"75.6"	"69"	"142350"	"146351"	"Hf"	"Hafnarfjordur"
"2213"	"395"	"3.034"	"3.028"	"79.3"	"78"	"131449.5"	"132765"	"Hf"	"Hlutlaus"
"2949"	"426"	"3.753"	"3.034"	"66.4"	"58"	"147959.5"	"155310"	"Hf"	"Haaleiti Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Gerdin Gardabaer Seltjarnarnes Kopavogur Hafnarfjordur Mosfellsbaer"
"3965"	"413"	"3.012"	"3.01"	"92.5"	"84"	"154882"	"192979"	"Hf"	"Gardabaer Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Seltjarnarnes Kopavogur Hafnarfjordur Mosfellsbaer"
"5417"	"468"	"2.385"	"2.347"	"80.7"	"70"	"126555"	"129339"	"Ar"	"Hlutlaus"
"5494"	"449"	"2.622"	"1.764"	"88.6"	"87"	"125697"	"125771"	"Hf"	"Hlidar Vesturbaer LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Seltjarnarnes Kopavogur Hafnarfjordur Mosfellsbaer"
"5795"	"420"	"3.324"	"3.087"	"71.2"	"61"	"122804.5"	"140085"	"Hf"	"Hlutlaus"
"5931"	"397"	"2.761"	"2.54"	"86.5"	"80"	"133250"	"170225"	"Ko"	"Gardabaer Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Kopavogur Hafnarfjordur Mosfellsbaer"
"6261"	"398"	"3.744"	"3.61"	"51.4"	"51"	"109648.5"	"109824"	"Se"	"Hlutlaus"
