"nrhus";"nuvirdi";"teg_eign";"byggar";"ibm2";"fjherb";"matssvaedi";"gaedi"
"340";57297.5;"Einbýlishús";1968;135.3;4;"Garðabær";3.677
"341";17907.5;"Íbúðareign";1970;69;1;"Hafnarfjörður";2.434
"342";48193.6;"Raðhús";2005;165.5;4;"Hafnarfjörður";2.998
"343";14771.9;"Íbúðareign";1979;53.9;1;"Kópavogur";2.225
"344";42099.2;"Íbúðareign";2008;115.5;2;"Kópavogur";3.572
"345";31439.2;"Íbúðareign";2006;88.9;2;"Kópavogur";3.136
"346";40544.4;"Íbúðareign";1946;94.4;2;"Laugarneshverfi/Vogar";3.45
"347";24618.1;"Íbúðareign";1924;43.7;2;"Vesturbær";3.809
"348";22353.5;"Íbúðareign";1987;52;1;"Laugarneshverfi/Vogar";4.083
"349";27674.4;"Íbúðareign";2008;78.5;1;"Hafnarfjörður";3.512
"350";31170.1;"Íbúðareign";1957;108.1;3;"Kópavogur";2.568
"351";45700.2;"Íbúðareign";2008;111.4;2;"Kópavogur";3.379
"352";34756.8;"Íbúðareign";1997;102;2;"Kópavogur";2.923
"353";17020.9;"Íbúðareign";1971;44.9;1;"Kópavogur";3.606
"354";43271.8;"Íbúðareign";1997;112.3;3;"Kópavogur";3.672
"355";27300;"Íbúðareign";1997;78.9;1;"Kópavogur";3.001
"356";30959.5;"Íbúðareign";2004;87;2;"Kópavogur";3.26
