"nrhus"	"nuvirdi"	"ibm2"	"gaedi"
819	87800.7	214.3	3.433
820	65825.5	158.3	4.083
821	25350	101.8	1.633
822	44551	236.5	1.629
823	42883.1	100.9	3.807
824	34643.7	112.5	2.717
825	18497.7	53.6	2.856
826	18726.5	61.9	2.552
827	24667.5	68.6	3.18
828	37050	107	3.395
829	24152.7	65.6	3.348
830	26000	90	2.766
831	67845.7	152	3.777
832	19731.4	76.3	2.094
833	28229.5	100.7	2.609
834	22469.2	51.9	2.865
835	60611.2	142.9	3.417
836	35487.4	80.1	3.91
837	70649.8	227.5	2.918
838	46530.9	113.8	3.304
839	70649.8	115.4	3.591
840	28886	94.7	2.952
841	50341.2	140.4	3.353
842	89398.4	241.4	3.295
843	36363.6	141.9	2.391
844	58246.5	250.5	2.02
845	37167	100.9	2.228
846	27940.9	103.5	2.38
847	25676.3	114.1	1.905
848	27263.6	92.6	2.865
849	48701.9	123.8	3.379
850	44127.2	100	4.206
851	18058.3	70.9	2.157
852	29850.6	109.6	2.491
853	65370.5	175	3.602
854	44220.8	104.5	3.946
855	35040.2	141.9	2.288
856	31982.6	75.6	3.521
857	26520	99.8	2.158
858	44473	121.6	3.388
859	56993.3	207.5	2.522
860	21281	97.4	1.842
861	33741.5	89.5	3.284
862	26917.8	88.2	2.548
863	18124.6	65.9	2.322
864	31577	89	2.538
865	30570.8	89.7	3.214
866	31499	75.6	3.631
867	27612	70.3	3.872
868	42922.1	136.3	2.741
869	45760	128.3	3.319
870	24563.5	62.5	3.021
871	39893.1	85.1	3.249
872	29474.9	105.4	2.882
873	21993.4	70.1	3.163
874	42797.3	111.4	3.143
875	21641.1	50.7	3.491
876	20956	95.3	1.968
877	37663.6	100.7	3.414
878	51322.7	133.7	3.927
879	21187.4	82.7	2.154
880	21967.4	48.4	3.778
881	21442.2	53.2	2.35
882	17690.4	59.9	2.592
883	22630.4	103.6	1.712
884	23292.1	77.3	2.627
885	20706.4	67.8	2.898
886	55278.6	141.2	3.981
887	33772.7	112.9	2.999
888	24407.5	93.2	2.448
889	26371.8	115	1.374
890	29068	84.9	3.009
891	9440.6	36	2.529
892	29048.5	107.5	2.253
893	70044	177.3	3.398
894	19355.7	68.9	2.661
895	38075.7	150	2.229
896	45168.5	115.6	3.528
897	26161.2	92.4	2.791
898	86929.7	270	3.98
899	32771.7	88	3.359
900	24243.7	71.7	3.267
901	18239	53.8	3.256
902	21017.1	62.6	4.031
903	16634.8	43.2	2.419
904	16116.1	44.9	3.378
905	29614	89.5	3.262
906	55794.7	154.1	3.285
907	35081.8	103.1	3.156
908	22579.7	70.7	2.862
909	57682.3	140.8	3.516
910	31514.6	104.4	2.809
911	25347.4	97.4	2.353
912	22735.7	62.5	3.219
913	45691.1	168	2.314
914	31679.7	111.4	2.82
915	35925.5	101.1	2.617
916	37307.4	103.6	3.22
917	22127.3	82	2.01
918	59005.7	174.5	3.18
919	31432.7	97.3	3.003
920	25217.4	95.6	2.602
921	33771.4	70	2.872
922	60758.1	191.3	2.826
923	23394.8	68.6	3.734
924	27890.2	102.7	2.365
925	42699.8	130.4	2.99
926	37503.7	102.3	3.011
927	29291.6	90.9	2.765
928	40903.2	115.3	3.298
929	17067.7	43.4	3.772
930	27527.5	85.6	3.239
931	39743.6	106.7	2.738
932	24830	80	2.59
933	30466.8	117.3	2.515
934	23390.9	79.3	2.566
935	28171	88.4	2.946
936	27653.6	88.4	2.851
937	23882.3	97.6	2.023
938	27407.9	84.4	2.851
939	27197.3	81.3	3.055
940	29047.2	78.4	2.805
941	17156.1	58.8	2.595
942	83499	297.5	3.268
943	32324.5	97.2	3.329
944	22586.2	71.2	2.76
945	18580.9	37.2	3.171
946	35696.7	105.2	3.147
947	47911.5	110.6	4.179
948	41649.4	111.4	2.937
949	18200	50.2	3.442
950	52484.9	117.6	3.848
951	40883.7	130.4	2.818
952	42630.9	140.4	2.702
953	21750.3	74.6	2.567
954	26124.8	82.5	2.942
955	32212.7	111.3	2.557
956	11893.7	38.3	2.905
957	39465.4	126.6	2.9
958	40159.6	119.4	2.854
959	40121.9	141.9	2.669
960	38827.1	91.7	3.487
961	41600	102.1	4.027
962	65531.7	151.1	3.753
963	30547.4	89.5	3.067
964	40523.6	117.3	2.804
